_id,AnnoA,AteneoCOD,AteneoNOME,Isc_S
476,2016/2017,1701,Brescia,976
477,2016/2017,1801,Pavia,1559
478,2016/2017,2101,Bolzano,482
479,2016/2017,2201,Trento,783
480,2016/2017,2301,Verona,1217
481,2016/2017,2701,Venezia Cà Foscari,1049
482,2016/2017,2702,Venezia Iuav,231
483,2016/2017,2801,Padova,2500
484,2016/2017,3001,Udine,941
485,2016/2017,3201,Trieste,1206
486,2016/2017,3401,Parma,1488
487,2016/2017,3601,Modena e Reggio Emilia,1261
488,2016/2017,3701,Bologna,5491
489,2016/2017,3801,Ferrara,856
490,2016/2017,4101,Urbino,900
491,2016/2017,4201,Marche,668
492,2016/2017,4301,Macerata,455
493,2016/2017,4302,Camerino,616
494,2016/2017,4801,Firenze,3693
495,2016/2017,4804,Firenze IUL - telematica,12
496,2016/2017,5001,Pisa,1723
497,2016/2017,5201,Siena,1220
498,2016/2017,5202,Siena Stranieri,227
499,2016/2017,5401,Perugia,1254
500,2016/2017,5403,Perugia Stranieri,341
501,2016/2017,5601,Tuscia,198
502,2016/2017,5801,Roma La Sapienza,5886
503,2016/2017,5802,Roma Tor Vergata,1701
504,2016/2017,5803,Roma LUMSA,273
505,2016/2017,5805,Roma LUISS,149
506,2016/2017,5806,Roma Foro Italico,45
507,2016/2017,5807,Roma Tre,1445
508,2016/2017,5808,Roma Biomedico,11
509,2016/2017,5809,Roma UNINT,67
510,2016/2017,5810,Roma Marconi - telematica,150
511,2016/2017,5811,Roma UNITELMA - telematica,16
512,2016/2017,5812,Roma Europea,19
513,2016/2017,5813,Roma UNINETTUNO - telematica,344
514,2016/2017,5814,Roma  Mercatorum - telematica,16
515,2016/2017,5815,Roma UNICUSANO - telematica,298
516,2016/2017,5816,Roma San Raffaele - telematica,44
517,2016/2017,5817,Roma Link Campus,31
518,2016/2017,6001,Cassino,275
519,2016/2017,6201,Sannio,25
520,2016/2017,6202,Benevento Giustino Fortunato - telematica,4
521,2016/2017,6301,Napoli Federico II,450
522,2016/2017,6302,Napoli Parthenope,77
523,2016/2017,6303,Napoli L'Orientale,372
524,2016/2017,6304,Napoli Benincasa,52
525,2016/2017,6306,Napoli Vanvitelli,219
526,2016/2017,6307,Napoli Pegaso - telematica,68
527,2016/2017,6501,Salerno,308
528,2016/2017,6601,L'Aquila,551
529,2016/2017,6701,Teramo,107
530,2016/2017,6901,Chieti e Pescara,519
531,2016/2017,6902,Torrevecchia Teatina Leonardo da Vinci - telematica,5
532,2016/2017,7001,Molise,60
533,2016/2017,7101,Foggia,90
534,2016/2017,7201,Bari,654
535,2016/2017,7202,Bari Politecnico,90
536,2016/2017,7203,Casamassima - G.Degennaro,6
537,2016/2017,7501,Salento,152
538,2016/2017,7601,Basilicata,55
539,2016/2017,7801,Calabria,641
540,2016/2017,7901,Catanzaro,93
541,2016/2017,8001,Reggio Calabria,54
542,2016/2017,8003,Reggio Calabria - Dante Alighieri,165
543,2016/2017,8201,Palermo,269
544,2016/2017,8301,Messina,248
545,2016/2017,8601,Enna KORE,23
546,2016/2017,8701,Catania,267
547,2016/2017,9001,Sassari,223
548,2016/2017,9201,Cagliari,242
549,2015/2016,101,Torino,3708
550,2015/2016,102,Torino Politecnico,4341
551,2015/2016,201,Piemonte Orientale,677
552,2015/2016,401,Bra Scienze Gastronomiche,77
553,2015/2016,701,Aosta,55
554,2015/2016,1001,Genova,2617
555,2015/2016,1201,Castellanza LIUC,41
556,2015/2016,1202,Insubria,524
557,2015/2016,1301,Novedrate e-Campus - telematica,239
558,2015/2016,1501,Milano,3470
559,2015/2016,1502,Milano Politecnico,4896
560,2015/2016,1503,Milano Bocconi,1482
561,2015/2016,1504,Milano Cattolica,1754
562,2015/2016,1505,Milano IULM,201
563,2015/2016,1508,Milano San Raffaele,109
564,2015/2016,1509,Milano Bicocca,1850
565,2015/2016,1510,Rozzano (MI) Humanitas University,88
566,2015/2016,1601,Bergamo,898
567,2015/2016,1701,Brescia,959
568,2015/2016,1801,Pavia,1471
569,2015/2016,2101,Bolzano,475
570,2015/2016,2201,Trento,851
571,2015/2016,2301,Verona,1182
572,2015/2016,2701,Venezia Cà Foscari,982
573,2015/2016,2702,Venezia Iuav,225
574,2015/2016,2801,Padova,2439
575,2015/2016,3001,Udine,882
576,2015/2016,3201,Trieste,1222
577,2015/2016,3401,Parma,1411
578,2015/2016,3601,Modena e Reggio Emilia,1269
579,2015/2016,3701,Bologna,5091
580,2015/2016,3801,Ferrara,818
581,2015/2016,4101,Urbino,930
582,2015/2016,4201,Marche,669
583,2015/2016,4301,Macerata,423
584,2015/2016,4302,Camerino,557
585,2015/2016,4801,Firenze,3563
586,2015/2016,4804,Firenze IUL - telematica,9
587,2015/2016,5001,Pisa,1585
588,2015/2016,5201,Siena,986
589,2015/2016,5202,Siena Stranieri,215
590,2015/2016,5401,Perugia,1169
591,2015/2016,5403,Perugia Stranieri,353
592,2015/2016,5601,Tuscia,208
593,2015/2016,5801,Roma La Sapienza,5311
594,2015/2016,5802,Roma Tor Vergata,1560
595,2015/2016,5803,Roma LUMSA,288
596,2015/2016,5805,Roma LUISS,134
597,2015/2016,5806,Roma Foro Italico,49
598,2015/2016,5807,Roma Tre,1443
599,2015/2016,5808,Roma Biomedico,10
600,2015/2016,5809,Roma UNINT,54
601,2015/2016,5810,Roma Marconi - telematica,131
602,2015/2016,5811,Roma UNITELMA - telematica,13
603,2015/2016,5812,Roma Europea,11
604,2015/2016,5813,Roma UNINETTUNO - telematica,328
605,2015/2016,5814,Roma  Mercatorum - telematica,4
606,2015/2016,5815,Roma UNICUSANO - telematica,229
607,2015/2016,5816,Roma San Raffaele - telematica,32
608,2015/2016,5817,Roma Link Campus,29
609,2015/2016,6001,Cassino,238
610,2015/2016,6201,Sannio,29
611,2015/2016,6202,Benevento Giustino Fortunato - telematica,2
612,2015/2016,6301,Napoli Federico II,387
613,2015/2016,6302,Napoli Parthenope,75
614,2015/2016,6303,Napoli L'Orientale,367
615,2015/2016,6304,Napoli Benincasa,39
616,2015/2016,6306,Napoli Vanvitelli,182
617,2015/2016,6307,Napoli Pegaso - telematica,48
618,2015/2016,6501,Salerno,274
619,2015/2016,6601,L'Aquila,542
620,2015/2016,6701,Teramo,117
621,2015/2016,6901,Chieti e Pescara,510
622,2015/2016,6902,Torrevecchia Teatina Leonardo da Vinci - telematica,4
623,2015/2016,7001,Molise,64
624,2015/2016,7101,Foggia,91
625,2015/2016,7201,Bari,684
626,2015/2016,7202,Bari Politecnico,85
627,2015/2016,7203,Casamassima - G.Degennaro,5
628,2015/2016,7501,Salento,128
629,2015/2016,7601,Basilicata,44
630,2015/2016,7801,Calabria,585
631,2015/2016,7901,Catanzaro,86
632,2015/2016,8001,Reggio Calabria,41
633,2015/2016,8003,Reggio Calabria - Dante Alighieri,76
634,2015/2016,8201,Palermo,275
635,2015/2016,8301,Messina,251
636,2015/2016,8601,Enna KORE,23
637,2015/2016,8701,Catania,256
638,2015/2016,9001,Sassari,196
639,2015/2016,9201,Cagliari,236
640,2014/2015,101,Torino,3641
641,2014/2015,102,Torino Politecnico,4446
642,2014/2015,201,Piemonte Orientale,651
643,2014/2015,401,Bra Scienze Gastronomiche,71
644,2014/2015,701,Aosta,61
645,2014/2015,1001,Genova,2551
